,District,City,Country,Continent,locality
0,Suffolk,Boston,United States of America,North America,Boston...
1,NaN,Hong Kong,China,Asia,"Hong Kong, China"
2,Gelderland,Apeldoorn,Netherlands,Europe,"Apeldoorn, The..."
3,Hampshire,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,New Forest National...
4,NaN,Chicago,United States of America,North America,"Chicago, Illinois"
5,NaN,NaN,Canada,North America,Canada
6,NaN,Qingdao,China,Asia,"Qingdao, China"
7,NaN,NaN,Singapore,Asia,"Singapore, Singapore"
8,NaN,Tokyo,Japan,Asia,"Tokyo, Japan"
9,NaN,Paris,France,Europe,"Paris, France"
10,Sectors of Bucharest,Bucharest,Romania,Europe,"Bucharest, Romania"
11,NaN,Vancouver,Canada,North America,Vancouver
12,NaN,San Francisco,United States of America,North America,San Francisco...
13,Kings County,New York City,United States,North America,"Brooklyn, New York"
14,NaN,NaN,United States of America,North America,United States
15,Los Angeles County,Los Angeles,United States,North America,Los Angeles...
16,City of Sydney,Sydney,Australia,Australia,"Sydney, Australia"
17,NaN,NaN,New Zealand,Australia,New Zealand
18,Santa Clara County,San Jose,United States of America,North America,"San Jose, California"
19,Metropolitan Borough of Stockport,Stockport,United Kingdom of Great Britain and Northern Ireland,Europe,Stockport
20,NaN,NaN,United States of America,North America,USA
21,NaN,Brisbane,Australia,Oceania,"Brisbane, Australia"
22,Mackay Region,Mackay,Australia,Australia,Mackay QLD
23,London Borough of Hounslow,London,United Kingdom of Great Britain and Northern Ireland,Europe,"London, United..."
24,Oxfordshire,Banbury,United Kingdom of Great Britain and Northern Ireland,Europe,"Banbury, United..."
25,Orange County,Orlando,United States of America,North America,"Orlando, Florida"
26,Alameda County,Alameda,United States of America,North America,"Alameda, California"
27,Sacramento County,NaN,United States of America,North America,California
28,City of Edinburgh,Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,"Edinburgh, United..."
29,NaN,NaN,United States of America,North America,california
30,Nottinghamshire,NaN,England,Europe,Nottinghamshire...
31,Leeds,Leeds,United Kingdom of Great Britain and Northern Ireland,Europe,"Leeds, United..."
32,Aberdeen,Aberdeen,United Kingdom of Great Britain and Northern Ireland,Europe,"Aberdeen, United..."
33,County Dublin,Dublin,Ireland,Europe,"Dublin, California"
34,Sacramento County,Elk Grove,United States of America,North America,Elk Grove...
35,NaN,Dundee,United Kingdom of Great Britain and Northern Ireland,Europe,"Dundee, United..."
