,Unnamed: 0,District,City,Country,Continent,locality
0,0,Suffolk,Boston,United States,North America,Boston...
1,1,,Hong Kong,China,Asia,"Hong Kong, China"
2,2,Gelderland,Apeldoorn,Netherlands,Europe,"Apeldoorn, The..."
3,3,Hampshire,,United Kingdom,Europe,New Forest National...
4,4,,Chicago,United States,North America,"Chicago, Illinois"
5,5,,,Canada,North America,Canada
6,6,,Qingdao,China,Asia,"Qingdao, China"
7,7,,,Singapore,Asia,"Singapore, Singapore"
8,8,,Tokyo,Japan,Asia,"Tokyo, Japan"
9,9,,Paris,France,Europe,"Paris, France"
10,10,Sectors of Bucharest,Bucharest,Romania,Europe,"Bucharest, Romania"
11,11,,Vancouver,Canada,North America,Vancouver
12,12,,San Francisco,United States,North America,San Francisco...
13,13,Kings County,New York City,United States,North America,"Brooklyn, New York"
14,14,,,United States,North America,United States
15,15,Los Angeles County,Los Angeles,United States,North America,Los Angeles...
16,16,City of Sydney,Sydney,Australia,Oceania,"Sydney, Australia"
17,17,,,New Zealand,Oceania,New Zealand
18,18,Santa Clara County,San Jose,United States,North America,"San Jose, California"
19,19,Metropolitan Borough of Stockport,Stockport,United Kingdom,Europe,Stockport
20,20,,,United States,North America,USA
21,21,,Brisbane,Australia,Oceania,"Brisbane, Australia"
22,22,Mackay Region,Mackay,Australia,Oceania,Mackay QLD
23,23,London Borough of Hounslow,London,United Kingdom,Europe,"London, United..."
24,24,Oxfordshire,Banbury,United Kingdom,Europe,"Banbury, United..."
25,25,Orange County,Orlando,United States,North America,"Orlando, Florida"
26,26,Alameda County,Alameda,United States,North America,"Alameda, California"
27,27,Sacramento County,,United States,North America,California
28,28,City of Edinburgh,Edinburgh,United Kingdom,Europe,"Edinburgh, United..."
29,29,,,United States,North America,california
30,30,Nottinghamshire,,United Kingdom,Europe,Nottinghamshire...
31,31,Leeds,Leeds,United Kingdom,Europe,"Leeds, United..."
32,32,Aberdeen,Aberdeen,United Kingdom,Europe,"Aberdeen, United..."
33,33,County Dublin,Dublin,Ireland,Europe,"Dublin, California"
