postcode,Date,Number of likes,Number of comments,Owner Username,Media Count,Photo Count,Video Count,Content
DSJwodTktUo,2025-12-12 05:57:55,0,0,thehongkong.mask,1,1,0,"【香港第59屆工展會限定優惠登場！】

全場最爆優惠 $10/盒！🔥 💥
每日限量60份！ 

📍 展位號碼：5A35
🗓️ 日期：12月13日至1月5日

人氣色系：亞麻米、深藍、薄荷綠 全部都有！
香港製造 🇭🇰、高效過濾、舒適透氣～
想入手嘅記得早啲嚟，售完即止！

🎁 再有更多限定優惠、禮品等你嚟搶～
📍 工展會現場見！

📌 聯絡我們：
🌐 官網：shop.hk-mask.com.hk
📞 電話：+852 31020202
🏬 門市地址：香港觀塘成業街27號日昇中心11樓1101D室
⏰ 營業時間：
星期一至五 09:30–18:30
星期六 09:30–13:00
星期日: 休館

#HongKongMask #香港製造 #工展會限定 #限量優惠 #口罩優惠 #工展會 #防疫必備 #香港品牌"
DSJqpOjkbLK,2025-12-12 05:05:36,1,0,goodlifecomhk,1,1,0,"【最後召集，明天（13/12）截單｜日昇小食｜韭菜餅+芫荽餅預購】

📅 12月13日截單，預計 12月17日或之後 連同訂單內其他貨品一同送貨！

提提大家，「日昇小食」預購明天（13/12）截單，如果想宅在家中都能一嚐土瓜灣的人氣小食，今明兩日就要落單啦！

「日昇小食」是土瓜灣的人氣小店，以出色的韭菜餅和爆餡芫荽餅聞名。韭菜餅和芫荽餅香脆可口，餡料飽滿且豬肉韭菜比例適中，作為小食、午餐或晚餐加餸都非常方便。由於食客反應熱烈，常出現售罄情況，現在透過線上預購，免去舟車勞頓，讓您輕鬆享受美食送到府上！

預購貨品包括：
============
🔸 韭菜餅
🔸 芫荽餅
🔸 雙併（韭菜餅+芫荽餅）

「#老陳餅店」多款烘焙產品亦預購中，一次過落單，同步送到府上！

#預購貨品 #日昇小食 #好生活 #GoodLife #香港網店 #韭菜餅 #芫荽餅 #土瓜灣美食 

購物連結：
✅「日昇小食」系列
https://goodlife.com.hk/brand/日昇小食/

其他相關產品：
✅「老陳餅店」多款精品烘焙產品
https://goodlife.com.hk/brand/老陳餅店/
✅「好生活」#預購產品 系列
https://bit.ly/gl-preorder
✅「好生活」#香港製造 系列
https://bit.ly/gl-madeinhk
✅「好生活」#香港品牌 系列
https://bit.ly/gl-hkbrand

「好生活」購物網站：
www.goodlife.com.hk
------------------------
關注我們：
🔸Facebook: www.facebook.com/goodlifecomhk
🔸Instagram: instagram.com/goodlifecomhk"
DSJnWdwgWwN,2025-12-12 04:36:49,0,0,fym_fungyip,1,1,0,"✨ FYM 網店正式試營業啦！✨
🎄聖誕禮遇85折開張優惠開放中！ 🎄
 
各位多年嚟支持我哋嘅朋友，終於等到呢一日！
以後買 FYM 自家產品，唔使再到處撲、唔使問邊度仲有貨——因為我哋 直營網店 終於登場啦！🙌

雖然網店仲係「搭棚階段」🛠️（我哋團隊仲埋頭苦幹緊），但唔影響你哋掃貨！所有功能正常，商品亦會持續上架更新～

最重要係：

商品庫存充足！
唔使擔心秒無 👀

同場加映：
✨ 買任何一條排蘇，即可以優惠價加購一個萬能蘇！

FYM 一直係你屋企啲電力小幫手，
依家，我哋終於有個地方俾你安安樂樂揀、舒服地買～

新網店等緊你入嚟行個圈：

https://fungyip.shoplineapp.com/

多謝各位支持，我哋會繼續努力上新、更新、再更新！💪
FYM 同你一齊亮著每一個溫暖角落 🔌✨

#FYM #香港品牌 #新店開張 #聖誕優惠 #85折"
DSJnAcsARNi,2025-12-12 04:33:48,0,0,fairytale_hkofficial,3,3,0,"【聖誕雙重禮遇 • 讓心意閃耀整個節日】🎄✨

這個聖誕，我們為您準備了雙重驚喜，不只送上優惠，更獻上精緻贈禮，讓您與所愛之人，共享溫暖閃耀的每一刻！💝🎄

1️⃣🈹精選聖誕禮品｜額外 95 折
會員專享價以外，精選商品再享 5% off！節日選禮，心意加倍，輕鬆入手質感好物。

2️⃣🎁 滿額贈禮｜將美好祝福帶回家
單筆消費滿指定金額，即贈匠心獨具的聖誕贈品，為您增添節日儀式感。

▫️ 全單滿 HK$3,000
即贈「輕巧隨行首飾卷」乙個
✨ 便攜設計，完美收納日常搭配，隨時綻放優雅光芒。

▫️ 全單滿 HK$8,800
即贈「幸運摩天輪琺瑯首飾盒」乙個
✨ 細膩工藝融合節日童話，轉動之間，許下新年願望。

*贈品數量有限，送完即止
*優惠至2025年12月31日
 
#xmas #聖誕禮物 #聖誕優惠 #珠寶 #首飾 #銅鑼灣廣場一期 #香港品牌 #jewellery #客製首飾"
DSJlVAYk-ZS,2025-12-12 04:19:08,7,0,jadeora.co,1,1,0,"-
竹節·節節高升🎍

🔍冰飄花翡翠

材質：鍍k金
價錢：$780

佩戴翡翠可以吸財運同埋製造商業機遇，財富+成功🆙
幫助平衡情緒、消除壓力💆🏻‍♀️，促進內心平靜同放鬆🩵💛
中醫傳統都用翡翠黎治療身體不適，保健康長壽👵🏼👴🏻

小知識📮
翡翠越戴水頭越足、越潤澤
戴耐左會比新戴戈陣更透喔！

因資源稀缺同全球市場嘅需求，
未來翡翠嘅價格會持續上升📈

風水學：翡翠戴左手左腳可以納福、提升運氣💮

#hk #hkig #hkigshop #hkdaily #hkonlineshop #hkiger #hkshop #hkfashion #852 #852onlineshop #852shop #香港 #香港創作 #香港手作 #香港製造 #香港品牌 #翡翠 #翡翠a玉 #翡翠手鐲 #翡翠玉石 #翡翠手串 #翡翠戒指 #翡翠吊墜 #翡翠珠寶 #緬甸翡翠 #天然翡翠 #翡翠耳環 #竹 #竹節 #聖誕禮物"
DSJj31yEkGv,2025-12-12 04:06:25,0,0,healthygiant.hk,3,3,0,"一份來自香港的健康禮物，融合科技與自然智慧 🌿
一瓶搞定全屋，潔淨也可以很溫柔 🏡
我們相信，健康不該是奢侈品。
SoHave 結合東方「天人合一」智慧與全球創新科技，將益生菌清潔技術帶入你的日常生活。
從個人健康到家居潔淨，我們堅持用自然的方式，守護你與環境的美好平衡。

真正的潔淨，是對自己與地球的溫柔尊重。
與我們一起，選擇更健康、更永續的生活。

#SoHave #健康巨人 #香港品牌 #科技與自然 #永續生活 #環保選擇 #益生菌科技 #潔淨新定義 #健康生活 #綠色未來"
DSJgS1-Etr8,2025-12-12 03:35:14,0,0,yuenlonghophing,1,1,0,"✨ 旦散的酥脆享受 | 傳統美味來襲 ✨

想尋找令味蕾振奮的點心嗎？這款傳統旦散以金黃酥脆的外觀，融合了蛋香撲鼻的滋味，使每一口都充滿懷舊風情。由雞蛋、麵粉和糖製成，經油炸後變得鬆脆，甜而不膩。

旦散在節慶和喜慶場合中特別受歡迎，每片都象徵著吉祥如意，讓人感受歷史的美味與祝福。同時，它也是香港零食中的經典之選，承載著無數人的童年記憶。

想感受這份懷舊的甜蜜嗎？來看看我們的產品吧，並透過Foodpanda享受便捷的配送服務！🍰

這款香港傳統點心，將歷史和美食完美結合，快與朋友一同分享這份美好的滋味吧！😋 如您也對旦散情有獨鍾？在下方留言告訴我們！

#元朗合興 #旦散 #傳統點心 #懷舊零食 #中式美食 #港式風味 #香港品牌 #喜慶甜品 #酥脆享受 #美食分享 #感受傳統 #經典回味"
DSJfHKoEnYE,2025-12-12 03:24:49,32,0,hck_kit,4,4,0,"最近收到 @protein.hero.official 俾我嘅5款口味蛋白粉🥛
試咗蘋果味好似蘋果汁咁🧃
快啲用我專屬優惠碼【matthck】用九折同我一齊試埋剩低嘅口味😋

Protein Hero 是一個新成立的香港品牌，專門為香港人打造又好味又營養的蛋白粉，顛覆傳統蛋白粉「死甜、難飲」的印象！

我們的蛋白粉由台灣製造，並且通過了 FSSC22000、ISO22000 和 HACCP 國際食品安全認證，讓你飲得放心，補充健康！

多款包裝：1kg 大包裝 + 35g 隨身包，滿足不同場景需求
5 隻精選口味：每款都精心研發，適合香港人口味
試飲裝優惠：全新推出 30 包試用裝，原價 $449.99，使用 專屬折扣碼， 即享 9 折優惠，只需 $404.99！一次過試曬 5 款精選口味！
除了健身人士，Protein Hero 亦適合作為日常代餐，方便又健康。

口味介紹✨

🍫朱古力味：濃郁香滑，令人回味無窮
蛋白質：21.6g / 糖：2.3g

🍼乳酸味：酸甜清爽，似益力多咁易入口
蛋白質：22.8g / 糖：2.9g

🍠香芋味：自然香甜，好似真芋頭飲品
蛋白質：24.2g / 糖：2.6g

🍵抹茶味：採用源自京都抹茶，茶香回甘
蛋白質：23.4g / 糖：2.7g

🍎蘋果味：爽口果香，飲落好 refreshing
蛋白質：25.4g（最高） / 糖：1.7g（最低）

#ProteinHero #WheyBeyondExpectation #香港品牌 #蛋白粉 #健身 #代餐 #Proteinshake"
DSJdoA3j5hT,2025-12-12 03:11:49,5,0,mykags,5,5,0,"🎄【聖誕送禮不煩惱｜小學生最愛福袋登場】
想送一份實用又有驚喜嘅聖誕禮物？我們幫你準備好啦！
✨仲分埋男孩子/ 女孩子款

🎁 聖誕福袋 A👦🏻及B👧🏻｜$480（原價 $842）
包括: 
🔸ESSENTIALS 系列輕盈多用途背包
🔹IZZY 系列筆袋
🔸 AQUARECHARGE 系列 Tritan 600毫升水壺連彈力斜背帶
🔹安全小夥伴連Locate Me 系列定位追蹤器
套裝

🎁 聖誕福袋 C👦🏻及D👧🏻｜$248（原價 $374）
🔹IZZY 系列筆袋
🔸 AQUARECHARGE 系列 Tritan 600毫升水壺連彈力斜背帶
🔹安全小夥伴連Locate Me 系列定位追蹤器
套裝

👦🏻👧🏻 適合小學生日常使用，實用又有型
🎒 書包、文具、水樽一應俱全
🎁 包裝精美，送禮即開即用
💰 價錢親民，CP值爆燈

🎅🏻 限量發售，錯過就要等明年！

📆 優惠期有限，售完即止！
📍立即到網店選購，為自己和摯愛準備一份心意 🎄
www.mykags.com

#聖誕優惠 #文具控必買 #福袋開箱 #限量禮物 #10周年紀念 #聖誕送禮靈感 #香港品牌 #SafeBuddies #小學生書包 #護脊書包 #聖誕禮物

*重要購買須知*
• 聖誕福袋內的產品款式與顏色均為固定搭配。
• 所有福袋一經售出，內容物不接受任何形式的指定、更改或退換。
• 請在購買前確認接受此條款。"
DSJY2axDiQF,2025-12-12 02:30:06,1,0,opalcosmeticshk_,1,1,0,"萬寧獨家優惠 限時買一送一！

12月12-25日，於任何萬寧門市或網店，購買 Opal 輕感護理系列 輕感柔順 或 輕感修護 一分鐘焗油，限時買一送一！

Opal 輕感護理系列 全新輕質空氣感配方，三重蛋白直達髮根，真正高效瞬吸；配合保濕因子 NaPCA，深層修護髮絲，即時提亮強韌！

快啲上萬寧網店睇吓啦！：
https://www.mannings.com.hk/zh-hant/brands/OPAL?page=1

#Opal #澳寶 
#香港名牌 #香港品牌
#沐浴露 #洗髮露 #護髮素 #一分鐘焗油
#OpalHKTVmall #HKTVmall
#胺基酸沐浴露系列 #輕感護理系列"
