District,City,Country,Continent,locality
Suffolk County,Boston,United States of America,North America,Boston...
NaN,Hong Kong,China,Asia,"Hong Kong, China"
Apeldoorn,Apeldoorn,Netherlands,Europe,"Apeldoorn, The..."
Hampshire,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,New Forest National...
Cook County,Chicago,United States of America,North America,"Chicago, Illinois"
NaN,NaN,Canada,North America,Canada
Unknown,Qingdao,China,Asia,"Qingdao, China"
NaN,NaN,Singapore,Asia,"Singapore, Singapore"
Unknown,Tokyo,Japan,Asia,"Tokyo, Japan"
Unknown,Paris,France,Europe,"Paris, France"
Unknown,Bucharest,Romania,Europe,"Bucharest, Romania"
NaN,Vancouver,Canada,North America,Vancouver
San Francisco County,San Francisco,United States of America,North America,San Francisco...
Kings County,New York City,United States of America,North America,"Brooklyn, New York"
NaN,NaN,United States of America,North America,United States
Los Angeles County,Los Angeles,United States of America,North America,Los Angeles...
City of Sydney,Sydney,Australia,Australia,"Sydney, Australia"
NaN,NaN,New Zealand,Australia,New Zealand
Santa Clara County,San Jose,United States of America,North America,"San Jose, California"
Stockport,Stockport,United Kingdom of Great Britain and Northern Ireland,Europe,Stockport
NaN,NaN,United States of America,North America,USA
NaN,Brisbane,Australia,Australia,"Brisbane, Australia"
Mackay Region,Mackay,Australia,Australia,Mackay QLD
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,"London, United..."
Oxfordshire,Banbury,United Kingdom of Great Britain and Northern Ireland,Europe,"Banbury, United..."
Orange County,Orlando,United States of America,North America,"Orlando, Florida"
Alameda County,Alameda,United States of America,North America,"Alameda, California"
Unknown,NaN,United States of America,North America,California
City of Edinburgh,Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,"Edinburgh, United..."
NaN,NaN,United States of America,North America,california
Nottinghamshire,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,Nottinghamshire...
West Yorkshire,Leeds,United Kingdom of Great Britain and Northern Ireland,Europe,"Leeds, United..."
Aberdeen City,Aberdeen,United Kingdom of Great Britain and Northern Ireland,Europe,"Aberdeen, United..."
Alameda County,Dublin,United States of America,North America,"Dublin, California"
Sacramento County,Elk Grove,United States of America,North America,Elk Grove...
NaN,Dundee,United Kingdom of Great Britain and Northern Ireland,Europe,"Dundee, United..."
King County,Seattle,United States of America,North America,"Seattle, Washington"
Hua Hin District,Hua Hin,Thailand,Asia,"Hua Hin, Thailand"
NaN,Johannesburg,South Africa,Africa,"Johannesburg, South..."
NaN,Melbourne,Australia,Australia,melbourne
Mohave County,Lake Havasu City,United States of America,North America,Lake Havasu City...
NaN,Manila,Philippines,Asia,"Manila, Philippines"
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom
NaN,Toronto,Canada,North America,"Toronto, Canada"
NaN,NaN,China,Asia,HK
NaN,Seville,Spain,Europe,"Seville, Spain"
Eurobodalla Shire,Batemans Bay,Australia,Australia,Batemans Bay...
West Midlands,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,West Midlands...
Worcestershire,Worcester,United Kingdom of Great Britain and Northern Ireland,Europe,"Worcester, United..."
Business Bay,Dubai,United Arab Emirates,Asia,Business Bay...
East Riding of Yorkshire,Kingston-upon-Hull,United Kingdom of Great Britain and Northern Ireland,Europe,Kingston-upon-Hull...
Bengaluru Urban,Bengaluru,India,Asia,"Bengaluru, India"
Polk County,Des Moines,United States of America,North America,"Des Moines, Iowa"
Southern District,Hong Kong,China,Asia,Southern...
NaN,NaN,United States of America,North America,Northern Virginia...
Maricopa,Phoenix,United States of America,North America,Phoenix
North Yorkshire,Scarborough,United Kingdom of Great Britain and Northern Ireland,Europe,scarborough
City of London,London,United Kingdom of Great Britain and Northern Ireland,Europe,london
Santa Clara County,Palo Alto,United States of America,North America,Palo Alto...
City of Melbourne,Melbourne,Australia,Australia,"Melbourne, VIC"
Harrogate,Harrogate,United Kingdom of Great Britain and Northern Ireland,Europe,"Harrogate, United..."
Tel Aviv,Tel Aviv-Yafo,Israel,Asia,"Tel Aviv, Israel"
North Carolina,Charlotte,United States of America,North America,"Charlotte, North..."
NaN,NaN,Canada,North America,Vancouver Island...
NaN,NaN,Singapore,Asia,SG
Devon,Sidmouth,United Kingdom of Great Britain and Northern Ireland,Europe,"Sidmouth, United..."
NaN,Montreal,Canada,North America,"Montreal, Canada"
NaN,New York City,United States of America,North America,"New York City, New..."
Kent,Sevenoaks,United Kingdom of Great Britain and Northern Ireland,Europe,"Sevenoaks, United..."
NaN,Jakarta,Indonesia,Asia,"Jakarta, Indonesia"
San Mateo County,Belmont,United States of America,North America,"Belmont, California"
Devon,Plymouth,United Kingdom of Great Britain and Northern Ireland,Europe,"Plymouth, United..."
Unknown,Cairo,Egypt,Africa,"Cairo, Egypt"
NaN,Kuala Lumpur,Malaysia,Asia,Kuala Lumpur...
London Borough of Barnet,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Edgware, United..."
NaN,NaN,Greece,Europe,Greece
Lincolnshire,Grantham,United Kingdom of Great Britain and Northern Ireland,Europe,"Grantham, United..."
