District,City,Country,Continent,locality
Suffolk County,Boston,United States of America,North America,Boston...
,Hong Kong,China,Asia,"Hong Kong, China"
Apeldoorn,Apeldoorn,Netherlands,Europe,"Apeldoorn, The..."
Hampshire,,United Kingdom of Great Britain and Northern Ireland,Europe,New Forest National...
Cook County,Chicago,United States of America,North America,"Chicago, Illinois"
,,Canada,North America,Canada
Unknown,Qingdao,China,Asia,"Qingdao, China"
,,Singapore,Asia,"Singapore, Singapore"
Unknown,Tokyo,Japan,Asia,"Tokyo, Japan"
Unknown,Paris,France,Europe,"Paris, France"
Unknown,Bucharest,Romania,Europe,"Bucharest, Romania"
,Vancouver,Canada,North America,Vancouver
San Francisco County,San Francisco,United States of America,North America,San Francisco...
Kings County,New York City,United States of America,North America,"Brooklyn, New York"
,,United States of America,North America,United States
Los Angeles County,Los Angeles,United States of America,North America,Los Angeles...
City of Sydney,Sydney,Australia,Australia,"Sydney, Australia"
,,New Zealand,Australia,New Zealand
Santa Clara County,San Jose,United States of America,North America,"San Jose, California"
Stockport,Stockport,United Kingdom of Great Britain and Northern Ireland,Europe,Stockport
,,United States of America,North America,USA
,Brisbane,Australia,Australia,"Brisbane, Australia"
Mackay Region,Mackay,Australia,Australia,Mackay QLD
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,"London, United..."
Oxfordshire,Banbury,United Kingdom of Great Britain and Northern Ireland,Europe,"Banbury, United..."
Orange County,Orlando,United States of America,North America,"Orlando, Florida"
Alameda County,Alameda,United States of America,North America,"Alameda, California"
Unknown,,United States of America,North America,California
City of Edinburgh,Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,"Edinburgh, United..."
,,United States of America,North America,california
Nottinghamshire,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,Nottinghamshire...
West Yorkshire,Leeds,United Kingdom of Great Britain and Northern Ireland,Europe,"Leeds, United..."
Aberdeen City,Aberdeen,United Kingdom of Great Britain and Northern Ireland,Europe,"Aberdeen, United..."
Alameda County,Dublin,United States of America,North America,"Dublin, California"
Sacramento County,Elk Grove,United States of America,North America,Elk Grove...
,Dundee,United Kingdom of Great Britain and Northern Ireland,Europe,"Dundee, United..."
King County,Seattle,United States of America,North America,"Seattle, Washington"
Hua Hin District,Hua Hin,Thailand,Asia,"Hua Hin, Thailand"
,Johannesburg,South Africa,Africa,"Johannesburg, South..."
,Melbourne,Australia,Australia,melbourne
Mohave County,Lake Havasu City,United States of America,North America,Lake Havasu City...
,Manila,Philippines,Asia,"Manila, Philippines"
,,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom
,Toronto,Canada,North America,"Toronto, Canada"
,,China,Asia,HK
,Seville,Spain,Europe,"Seville, Spain"
Eurobodalla Shire,Batemans Bay,Australia,Australia,Batemans Bay...
West Midlands,,United Kingdom of Great Britain and Northern Ireland,Europe,West Midlands...
Worcestershire,Worcester,United Kingdom of Great Britain and Northern Ireland,Europe,"Worcester, United..."
Business Bay,Dubai,United Arab Emirates,Asia,Business Bay...
East Riding of Yorkshire,Kingston-upon-Hull,United Kingdom of Great Britain and Northern Ireland,Europe,Kingston-upon-Hull...
Bengaluru Urban,Bengaluru,India,Asia,"Bengaluru, India"
Polk County,Des Moines,United States of America,North America,"Des Moines, Iowa"
Southern District,Hong Kong,China,Asia,Southern...
,,United States of America,North America,Northern Virginia...
Maricopa,Phoenix,United States of America,North America,Phoenix
North Yorkshire,Scarborough,United Kingdom of Great Britain and Northern Ireland,Europe,scarborough
City of London,London,United Kingdom of Great Britain and Northern Ireland,Europe,london
Santa Clara County,Palo Alto,United States of America,North America,Palo Alto...
City of Melbourne,Melbourne,Australia,Australia,"Melbourne, VIC"
Harrogate,Harrogate,United Kingdom of Great Britain and Northern Ireland,Europe,"Harrogate, United..."
Tel Aviv,Tel Aviv-Yafo,Israel,Asia,"Tel Aviv, Israel"
North Carolina,Charlotte,United States of America,North America,"Charlotte, North..."
,,Canada,North America,Vancouver Island...
,,Singapore,Asia,SG
Devon,Sidmouth,United Kingdom of Great Britain and Northern Ireland,Europe,"Sidmouth, United..."
,Montreal,Canada,North America,"Montreal, Canada"
,New York City,United States of America,North America,"New York City, New..."
Kent,Sevenoaks,United Kingdom of Great Britain and Northern Ireland,Europe,"Sevenoaks, United..."
,Jakarta,Indonesia,Asia,"Jakarta, Indonesia"
San Mateo County,Belmont,United States of America,North America,"Belmont, California"
Devon,Plymouth,United Kingdom of Great Britain and Northern Ireland,Europe,"Plymouth, United..."
Unknown,Cairo,Egypt,Africa,"Cairo, Egypt"
,Kuala Lumpur,Malaysia,Asia,Kuala Lumpur...
London Borough of Barnet,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Edgware, United..."
,,Greece,Europe,Greece
Lincolnshire,Grantham,United Kingdom of Great Britain and Northern Ireland,Europe,"Grantham, United..."
,,Malaysia,Asia,Malaysia
,Edmonton,Canada,North America,"Edmonton, Canada"
Cervia,Milano Marittima,Italy,Europe,Milano Marittima...
Derbyshire,Derby,United Kingdom of Great Britain and Northern Ireland,Europe,"Derbyshire, England"
Unknown,Bangkok,Thailand,Asia,"Bangkok, Thailand"
Mumbai City,Mumbai,India,Asia,"Mumbai, India"
Hyderabad,Hyderabad,India,Asia,"Hyderabad, India"
Bega Valley Shire,Bermagui,Australia,Australia,"Bermagui, Australia"
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,Greater London...
San Diego County,Encinitas,United States of America,North America,Cardiff-by-the-Sea...
,Dubai,United Arab Emirates,Asia,"Dubai, United Arab..."
Clark County,Las Vegas,United States of America,North America,"Las Vegas, Nevada"
,,Singapore,Asia,Sentosa Island...
Kiruna Municipality,Kiruna,Sweden,Europe,"Kiruna, Sweden"
Rossendale,Bacup,United Kingdom of Great Britain and Northern Ireland,Europe,"Bacup, United..."
,,United States of America,North America,new jersey
Unknown,Vienna,Austria,Europe,"Vienna, Austria"
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,London UK
Palm Beach County,Boynton Beach,United States of America,North America,Boynton Beach...
City of Perth,Perth,Australia,Australia,"Perth, Australia"
City of Melbourne,Melbourne,Australia,Australia,"Melbourne, Australia"
,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,"Bristol, United..."
Pinellas County,Clearwater,United States of America,North America,"Clearwater, Florida"
Whangarei District,Whangārei,New Zealand,Australia,"Whangarei, New..."
,,Australia,Australia,Queensland...
,,Singapore,Asia,Singapore
Harris County,Houston,United States of America,North America,"Houston, Texas"
,,United Kingdom of Great Britain and Northern Ireland,Europe,England
,,China,Asia,China
,,Australia,Australia,Greater Sydney...
Los Angeles County,Monterey Park,United States of America,North America,Monterey Park...
Futian District,Shenzhen,China,Asia,"Shenzhen, China"
Unknown,Beijing,China,Asia,"Beijing, China"
