Chain ID Counter,Post in Chain Counter,chainid,id,locality,District,City,Country,Continent,longname,postdate,postings,subject,usertext
1,1,13263599,105939910,Boston...,Suffolk County,Boston,United States of America,North America,TA_Colleen,4 years ago,176,Coronavirus (Covid-19) Information in Hong Kong,"Hello Travelers, Tripadvisor has created this thread to be an ongoing resource for anyone seeking information about Coronavirus (Covid-19) and travel to Hong Kong. Many travelers have already contributed to information about the Coronavirus, and we are hoping you will share any new updates or recommendations pertaining to Coronavirus in Hong Kong here. Some of the information we're seeing travelers seek out is: What attractions have been closed, or have re-opened for business? Are there any specific local resources for following news or other information? Have there been any significant disruptions to government services (such as public transport or airport/train stations)? What types of disruptions to local businesses have been noted? For more details on the situation globally please visit this Tripadvisor guide: https://www.tripadvisor.com/COVID-2019 Additional threads with useful information that have already been started by our travelers can be found here: https://www.tripadvisor.com/Search?q=Coronavirus&searchSessionId=278DDBC04137C1CB25BEF8F5870603511583185600562ssid&sid=483988A424AE731DAB9F83D0D70F8FBB1583762990200&blockRedirect=true&ssrc=f&geo=294217&rf=1 Please feel free to respond to this post with questions or information about this important issue, or share links to existing forum posts with useful information. As we at Tripadvisor, and more specifically our community of travelers have more information, please check back here to see how the situation is evolving in Hong Kong. Colleen Tripadvisor Content Team"
1,2,13263599,105946408,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",1. Re: Coronavirus (Covid-19) Information in Hong Kong,"Online English news outlets which regularly report Coronavirus matters that effect Hong Kong including number of cases, quarantine situation as well as attractions and events that are closed due to the outbreak. See links below RTHK English News https://news.rthk.hk/rthk/en/ South China Morning Post https://www.scmp.com/ Hong Kong Free Press https://www.hongkongfp.com/hong-kong-news/ The Standard https://www.thestandard.com.hk/section-news-list/section/local/"
1,3,13263599,105946471,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",2. Re: Coronavirus (Covid-19) Information in Hong Kong,Discover Hong Kong - Advisory - Providing links to important respective sources of information that will directly impact tourists visits to Hong Kong https://www.discoverhongkong.com/eng/notice.jsp From the main Discover Hong Kong website you can simply click the grey tab at the top of the page to regularly updated advisory. https://www.discoverhongkong.com/eng/index.jsp
1,4,13263599,105946513,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",3. Re: Coronavirus (Covid-19) Information in Hong Kong,"Hong Kong Gov - Covid19 Resource Website https://www.coronavirus.gov.hk/eng/inbound-travel.html This is an updated repository from the local government describing health declaration, quarantine and other Covid19 related matters that affect Hong Kong residents as well as those who plan to visit HK."
1,5,13263599,105947215,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",4. Re: Coronavirus (Covid-19) Information in Hong Kong,"Hong Kong is currently working towards normalisation of the situation, with things slowly slowly reopening. Of importance for visitors continuing to a second destination in Asia: many countries have restrictions on travellers from Hong Kong. This includes at least Taiwan, Philippines and Thailand. The many flight cancellations to/from Hong Kong should be another concern. I'm not aware of a central, reliable repository of information on this, it changes all the time at the whim of the various governments involved. For updates & more questions about the situation in Hong Kong best use the other sticky: https://en.tripadvisor.com.hk/ShowTopic-g294217-i1496-k12734994-o1000-Is_HK_save_to_travel-Hong_Kong.html That sticky started due to the protest situation, then morphed into a virus-related thread, and with the protests picking up again likely soon back to the protest situation. Edited: 4 years ago"
1,6,13263599,105947333,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",5. Re: Coronavirus (Covid-19) Information in Hong Kong,Another related thread regarding Immigration experience when arriving into Hong Kong during the Coronavirus Outbreak. There are some recent posts there that will be worth reading for anyone is planning to arrive here in HK in the near future https://www.tripadvisor.com/ShowTopic-g294217-i1496-k13254575-Hong_Kong_Immigration_Experience_during_Coronavirus_Outbreak-Hong_Kong.html
1,7,13263599,105947571,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",6. Re: Coronavirus (Covid-19) Information in Hong Kong,"Hotel Situation in HK during the CoronaVirus Outbreak At present, hotel room rates around the city remain at deeply discounted levels. I'm finding properties in the 2-4 star range offering prices, even on weekends that are 25-33% their normal rates of the past few years. Some 5 star properties are offering discounts as well but not at the same level of concessions that you will find with the midrange category places. As such, it is not necessary to reserve hotel rooms far in advance this year. You can wait until much closer to your intended dates of travel, to ensure your trip isn't cancelled. Then book with 1 week or so of your intended travel to Hong Kong. This situation may change later in the year but many of us feel that it is not likely as we have a major protest movement that is presently set on pause while the city deals with the Coronavirus Outbreak. After the virus outbreak settles, if the protests return to the same levels of activity that we saw last autumn, visitors will likely continue to remain away from HK in mass numbers. If this happens, hotel room rates will probably stay quite low as well. Edited: 4 years ago"
1,8,13263599,105953642,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",8. Re: Coronavirus (Covid-19) Information in Hong Kong,"It is now being reported that Hong Kong will impose new quarantine requirements for anybody who arrives in the city having previously been in Italy, or parts of Japan, Germany or France, in the past two weeks starting midnight on Thursday (see link) https://news.rthk.hk/rthk/en/component/k2/1513568-20200310.htm This is similar to the travel restrictions that are currently in effect for those who have visited mainland China, South Korea or Iran within 14 days prior to attempting to enter Hong Kong. Given the vastly rising infection counts in places like Spain and the United States, it is quite possible that we are going to see the same/similar travel restrictions into Hong Kong slapped on even more nations in the near future."
1,9,13263599,105953798,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",9. Re: Coronavirus (Covid-19) Information in Hong Kong,"Even worse for arrivals from Korea: non-Hong Kong residents who have been to Korea less than two weeks prior to arrival in HK will be rejected entry outright. As usual no explicit mention of transit passengers, who did not leave the airport. So can't say either way whether such a traveller will be allowed entry or not. Edited: 4 years ago"
1,10,13263599,105962343,New Forest National...,Hampshire,,United Kingdom of Great Britain and Northern Ireland,Europe,SolentTraveller,4 years ago,"13,602",10. Re: Coronavirus (Covid-19) Information in Hong Kong,"For anyone intending to use Lantau bus services operating to/from Mui Wo, Tung Chung, Tai O and Ngong Ping, owing to reduction in patronage resulting from impact of the COVID-19 outbreak, revised timetables for routes 1,2,3M,11,21 and 23 will be in operation from Friday 13th March. The reduction in service frequency mainly affects weekday, rather than weekend services and services are subject to actual passenger demand. Service 4 (Mui Wo - Tong Fuk) will be suspended until further notice, Revised timetables can be viewed at this link; http://www.nlb.com.hk/assets/uploads/%E8%AA%BF%E6%95%B4%E7%8F%AD%E6%AC%A1_R2_by_Alex.pdf"
1,11,13263599,105969941,New Forest National...,Hampshire,,United Kingdom of Great Britain and Northern Ireland,Europe,SolentTraveller,4 years ago,"13,602",12. Re: Coronavirus (Covid-19) Information in Hong Kong,"Some museums are partially reopening their exhibition facilities from today (11th March) although interactive exhibits remain suspended' ""The Hong Kong Museum of Art, the Hong Kong Heritage Museum, the Hong Kong Film Archive and the Flagstaff House Museum of Tea Ware will partially open their exhibition facilities on March 11, with interactive exhibits and public programmes temporarily suspended. Special opening hours from 10am to 5pm daily (except on the regular closing day) will be implemented. Among the four museums, the Hong Kong Museum of Art and the Hong Kong Heritage Museum will arrange visits by sessions, each lasting two hours, to limit visitor flow. Visitors will be able to enter the museums on a first-come, first-served basis"""
1,12,13263599,106009274,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",13. Re: Coronavirus (Covid-19) Information in Hong Kong,"Just announced per RTHK and SCMP... The Hong Kong government says all arrivals from Europe's Shengen bloc will have to isolate themselves at home for 14 days starting on Tuesday (17 March 2020)... . The countries in question are: Austria, Belgium, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, the Netherlands, Norway, Poland, Portugal, Slovak Republic, Republic of Slovenia, Spain, Sweden and Switzerland. Countries not covered by the agreement include the United Kingdom and the Republic of Ireland. https://news.rthk.hk/rthk/en/component/k2/1514341-20200313.htm https://www.scmp.com/news/hong-kong/health-environment/article/3075025/hong-kong-toddler-tests-positive-coronavirus"
1,13,13263599,106015952,New Forest National...,Hampshire,,United Kingdom of Great Britain and Northern Ireland,Europe,SolentTraveller,4 years ago,"13,602",14. Re: Coronavirus (Covid-19) Information in Hong Kong,"Ngong Ping 360 cable car resumes service Fridays to Sundays only commencing tomorrow Sunday 15th March until 29th March with operating hours 10am to 4pm, online booking only, reduced cabin capacity and operating speed. For details see; https://www.np360.com.hk/sites/default/files/media_centre/file_upload/2003/Media%20Statement%20-%20Resumption%20of%20cable%20car%20service%20-%20Eng.pdf"
1,14,13263599,106017975,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",15. Re: Coronavirus (Covid-19) Information in Hong Kong,"Health experts are calling for travellers from the UK to be quarantined as well, and with the WHO having declared Europe as the new epicentre of the epidemic and with lots of cases in the UK as well, I expect this to happen soon."
1,15,13263599,106043948,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",16. Re: Coronavirus (Covid-19) Information in Hong Kong,"The government said on Sunday that all arrivals from the United Kingdom, Ireland and the United States will have to undergo 14 days' quarantine from Thursday (19 March 2020) https://news.rthk.hk/rthk/en/component/k2/1514597-20200315.htm?spTabChangeable=0 https://www.scmp.com/news/hong-kong/health-environment/article/3075294/coronavirus-hong-kong-issues-red-travel-alert"
1,16,13263599,106044470,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",17. Re: Coronavirus (Covid-19) Information in Hong Kong,"Your RTHK link is broken, apparently changed a bit, currently working link: https://news.rthk.hk/rthk/en/component/k2/1514599-20200315.htm?spTabChangeable=0"
1,17,13263599,106070671,"Hong Kong, China",,Hong Kong,China,Asia,SammyFD,4 years ago,"82,978",18. Re: Coronavirus (Covid-19) Information in Hong Kong,"14-day home quarantine now applies to all foreign arrivals except mainland China, Taiwan and Macau beginning midnight Thursday. https://www.scmp.com/news/hong-kong/politics/article/3075491/coronavirus-hong-kong-quarantine-arrivals-all-foreign"
1,18,13263599,106074512,New Forest National...,Hampshire,,United Kingdom of Great Britain and Northern Ireland,Europe,SolentTraveller,4 years ago,"13,602",19. Re: Coronavirus (Covid-19) Information in Hong Kong,A bit of minor news for anyone who does actually make it to HK. The revised Lantau Island bus timetables with reduced services referred to in posts 10 & 11 were not approved by the Transport Dept and services have reverted to operating to normal timetable until such as the department has considered the matter and objections received. Edited: 4 years ago
1,19,13263599,106075306,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",20. Re: Coronavirus (Covid-19) Information in Hong Kong,"Post #14. Related, Macau has just revised their entry restrictions yet again and are now barring everyone from 18 March from entry (no more quarantine) if you are not from Macau or legal resident of China, HK or Taiwan. HK and Macau have have fairly similar entry restrictions plans in recent weeks. This could very well mean that we see a similar travel ban come into effect here in Hong Kong in the very near future."
1,20,13263599,106075358,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",21. Re: Coronavirus (Covid-19) Information in Hong Kong,"Post #12 Update - on updated museum reopenings I visited the Heritage Museum yesterday and HKMOA this afternoon. The procedures are simple. They have three 2 hour slots with 30 minute closings in between in order to clean and disinfect. Small number of visitors are allowed to enter, not sure the exact count but there were very few during my visits. There are announcements starting 10 minutes before the end of the session, informing you to begin exiting the museum. You'll find hand gel tubs in quite a few of the galleries as well. All rather straight-forward, very few others in the museums and everyone is quite spread out, making it potentially a safer place to be than out on the streets or in the malls. A last word - The HKMOA renovations are really nice and the Turner to Hockley exhibition of British landscapes from London's Tate is a great way to kick off the reopening of the museum."
1,21,13263599,106078097,"Chicago, Illinois",Cook County,Chicago,United States of America,North America,Europelover2014,4 years ago,"3,467",22. Re: Coronavirus (Covid-19) Information in Hong Kong,"Thanks for the report! I'm so eager to see the re-opened HKMOA. Meanwhile, back in the US we are working from home, closing schools, online teaching, washing hands, social distancing, closing restaurants and businesses. No whining from me - I know what Hong Kongers have lived through and hope our citizens will also sacrifice to stop this outbreak. I'm happy to hear that HK is on a better footing than a month ago - hoping we find the same on the other side of this. Amazing - and to think that my first knowledge months ago of the outbreak in Wuhan was from a poster on TA."
1,22,13263599,106084519,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",23. Re: Coronavirus (Covid-19) Information in Hong Kong,"I haven't seen much in the way of social distancing in HK (pretty hard considering how many people there are in this small area), no restaurants are closed (well, those targeting tourists may have gone bankrupt), and most non-tourist businesses go on as usual. Worst by far is the schools being closed for two full months now, and at the very least another month to go and probably even longer, easily another month before it's all reopened. No idea what's going to happen to all those cross border students, and the year end (or even school end!) exams... Also schools are bound to require their students to wear masks, but no-one knows where to get that extra million or so of masks needed daily for that to happen."
1,23,13263599,106086217,"Hong Kong, China",,Hong Kong,China,Asia,SammyFD,4 years ago,"82,978",24. Re: Coronavirus (Covid-19) Information in Hong Kong,"There is overall social distancing as evident by the lesser number of people walking around, using public transport and eating out. A lot of restaurants have gone out of business or are operating with more limited hours. Many people I know still work from home. Even my office is letting staff out an hour early to avoid the worst of the traffic (=crowds). There have been no hard rules to close any business though. The only closures were facilities controlled by the government. Many of them are starting to open again though some with just limited service. I have a friend with two children (8 and 10) who has only gone out just once to dine since the virus hit. On most days, she stays home while her husband goes to work and does all the shopping. I also know people who have been working from home since CNY. Some elderly folks I know have scrapped their weekly mahjong meetings. This past weekend though, it was noticeable that more people were out and about. A restaurant that I walk past often was at 70-80% capacity, vs maybe just 30% two weeks ago. We visited the HKMOA several months ago before the virus hit. It's indeed a nice place. The architecture is very interesting. Even though I don't know much about Chinese art, the exhibits are very well done. They have a small section on Western art as well though obviously, European museums and the NY Metropolitan offer more famous works."
1,24,13263599,106090702,"Apeldoorn, The...",Apeldoorn,Apeldoorn,Netherlands,Europe,wvmarle,4 years ago,"13,665",25. Re: Coronavirus (Covid-19) Information in Hong Kong,"Public transport: sure, with the schools closed that's less people. The lack of tourists is also telling in transport. Transport has been getting notably more crowded over the past two weeks, East Rail Line is much less crowded than normal, in a large part thanks to the lack of cross border traffic. Walking around: not any less crowded than normal in Tai Po (an area that normally sees little to no tourists). Last Saturday the malls were as crowded as ever. Restaurants had their usual lines; I have yet to see a restaurant that closed or that's significantly less crowded. I did notice two dispensaries that closed down (permanently), and at least one Chow Tai Fook closed (temporarily - shop is still there, just closed for business). I've also not seen any closed shops in Ap Lei Chau where I currently work; another corner of Hong Kong that rarely sees tourists normally. As I started there early Feb I can't tell whether the current crowds (which to me feel normal for such areas) are less than normal. So it seems the locals don't go out much less than usual; but if you live in a tourist-heavy area no doubt you will see relatively quiet streets and struggling restaurants. I haven't visited Lan Kwai Fong or Soho recently, especially the latter area I've heard starts to resemble a ghost town with most units boarded up."
1,25,13263599,106098062,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",26. Re: Coronavirus (Covid-19) Information in Hong Kong,"New Monitoring Bracelet information from RTHK People coming into Hong Kong from overseas (not inc. Macau, Mainland China or Taiwan) from Thursday will all be issued a new type of monitoring bracelet that officials say can raise the alarm and alert the authorities if they leave their quarantine location before the mandatory two-week period is up...... https://news.rthk.hk/rthk/en/component/k2/1515386-20200318.htm"
1,26,13263599,106098177,"Hong Kong, China",,Hong Kong,China,Asia,Brad,4 years ago,"32,882",27. Re: Coronavirus (Covid-19) Information in Hong Kong,"Update on the second wave (as it is being referred to) of Covid Outbreak locally. Covid-19 have started to spike (+25) yesterday taking our total to 192 (see links) Similarly Macau, after having no new cases for 40 days, has been been dealt 7 new imported cases this week. https://news.rthk.hk/rthk/en/component/k2/1515286-20200318.htm https://www.scmp.com/news/hong-kong/health-environment/article/3075731/coronavirus-imported-cases-surge-eight-more-test"
1,27,13263599,106110630,Canada,,,Canada,North America,Katetam,4 years ago,"7,401",28. Re: Coronavirus (Covid-19) Information in Hong Kong,"I just wanted to update in here about the time it takes to get out of the airport as in the past few days, there were lots of reports and stories that were quite frustrating and many visitors were concerned what to expect upon their arrival in the next few days. The airport immigration was overwhelmed with many returning to HK , especially students from overseas in the past couple of days. Reporting that it took 4-5 hours to get out of the HK airport to get the health declaration, immigration, the wrist bands, and questions asked...etc. As of today, it seemed the process is much faster. It was about 15 minutes to 30 minutes. However, there seems to be a long delay in getting the tracker wristband to activate because one needs to wait for the text message to your phone to activate, Some says it's up to 12 hours delay. But no matter, the 14 day quarantine rule applies to all visitors from any country coming into HK now, except Taiwan and Macau. Very amazed by HK government implementing such measures. Edited: 4 years ago"
1,28,13263599,106114469,"Hong Kong, China",,Hong Kong,China,Asia,SammyFD,4 years ago,"82,978",29. Re: Coronavirus (Covid-19) Information in Hong Kong,"If they manage to get the wristband and app system to work, then HK is ahead of just about every country worldwide. Sure, there could be loopholes that some folks would like to pick on. However, we aren't seeing any other country offering a better solution at this point. In fact, I know somebody who was going to head to New Zealand (dual citizen HK/NZ so allowed entry there) at the end of this month originally. She was going to ignore NZ's 14-day self-isolation ban since she said it would be impossible to police. She was forced to cancel her trip only when HK implemented the 14-day quarantine procedure."
1,29,13263599,106133273,Canada,,,Canada,North America,Andy C,4 years ago,390,30. Re: Coronavirus (Covid-19) Information in Hong Kong,"Yes, it sad to see people ignore the self quarantine order but that is a reality. Almost all western countries weren't prepared for the outbreak and now they (including my own) all had learned the ""speed"" of the virus and resort to asking citizen to practice social distancing, personal hygiene and WFH. Good for HK to use GPS tracking devices for people under quarantine order. We have similar devices but they are mostly for DUI offenders and other convicts. There is whole rack of privacy issue to use it on travelers here. Edited: 4 years ago"
